NU_INSCRICAO,CO_ESCOLA,NU_NOTA_CH,NU_ACERTOS_CH,NU_NOTA_CN,NU_ACERTOS_CN,NU_NOTA_LC,NU_ACERTOS_LC,NU_NOTA_MT,NU_ACERTOS_MT
150000660081,35134806,660,32,675.9,26,546.1,21,841.9,32
150000586172,35134806,670,32,586.3,16,577,26,887.9,35
150000566177,35286187,620.2,24,722.5,34,584.7,27,928.8,38
150000657794,35286187,683.6,35,486.5,9,603.3,29,747.2,26
150000615315,35134806,725.3,39,791.5,38,565.9,24,883.6,36
150000731415,35134806,709.1,36,711.7,31,691,37,733,23
150000731442,35134806,733.4,38,811.9,43,667.6,35,750.8,25
150000768328,35134806,648.2,28,699.9,30,617.3,30,807.3,30
150000690391,35134806,713.4,37,729.7,35,625,29,721.1,25
150000616738,35134806,652.4,31,657.3,25,579.9,26,849.2,33
150000699455,35134806,723,38,632.3,22,662.9,34,665.6,18
150000615333,35134806,699,35,701.4,30,682.3,36,702.5,23
150000698845,35134806,667,32,659.6,27,642.2,31,786.8,29
150000698796,35134806,681.9,34,667.5,26,624.8,31,700.2,21
150000752456,35134806,715.1,38,770.8,39,706.5,37,696.5,22
150000796569,35563006,545.3,17,601.1,19,538.4,20,829,33
150000764595,35134806,674,31,653.2,26,608.2,33,643.3,17
150000800057,35134806,699.5,36,705.1,33,645.9,35,642.9,20
150000804910,35286187,628.3,25,667,25,586.6,27,724.9,23
150000839430,35286187,679.8,31,679.5,29,603.3,31,520.2,12
150000816732,35134806,622.5,26,694.8,31,596.9,27,689.7,23
150000904673,35563006,698.5,35,609.3,18,653.9,36,720,25
150000990863,35563006,611.3,22,588.7,20,569.9,24,835.3,30
150001015343,35134806,653.9,28,644.8,22,595.9,27,739.7,25
150001032218,35286187,687.6,35,563.5,17,636.5,34,962.6,40
150000925136,35134806,687,35,625.2,21,648.9,33,714.7,21
150000945028,35134806,682.9,33,638.5,21,632.6,32,995.8,43
150000904702,35134806,661.9,30,676.8,30,574,24,797.4,27
150001094137,35134806,718,36,678,28,660.9,34,627.7,17
150000913991,35286187,671.5,32,590.5,18,607.5,30,496.1,11
150001110402,35134806,749.8,40,731,36,633.3,35,702.4,20
150000924105,35134806,658.4,30,649.2,25,604.9,30,465.8,12
150001113101,35286187,662.7,29,848.8,43,629.4,32,756.5,25
150001042760,35134806,702.8,35,659.2,27,644.3,35,717.1,26
150001028488,35134806,657.6,29,567.7,18,604,30,825.6,31
150001081926,35563006,619.6,25,587.6,23,562,23,709.2,21
150000997473,35134806,697.4,36,590.7,16,644.3,33,834.5,32
150001023917,35286187,719.2,38,544.1,14,649.4,34,859.5,33
150001146839,35134806,750,41,638.4,23,689.6,37,757.9,27
150001067221,35286187,610.9,26,624.8,22,599.8,29,770.6,27
150001137396,35134806,682.4,32,753.4,36,598.1,28,682.1,23
150001158861,35563006,673,31,574.4,17,633.9,31,817,30
150001144478,35563006,648,28,754.9,34,599.2,27,769.9,25
150001172207,35134806,651.1,28,672,27,712.8,39,716.9,25
150001164096,35134806,708.6,37,697.5,32,689.2,37,899.3,36
150001179773,35563006,711.1,37,678.2,29,614.3,32,803.7,30
150001154734,35134806,695.6,36,714.7,34,656.2,33,760.9,24
150001169426,35134806,736.9,40,713.8,33,653.2,33,639,16
